username	date	retweets	favorites	text	geo	mentions	hashtags	tweetid	conversationid	replyto	permalink	imagelink
HargoFett	2018-07-21 19:43	0	1	# Nibiru's magnetic field has been increasingly affecting Earth's magnetosphere. The magnetosphere is created by Earth's spinning core, with plasma. These plasma lines are being cut/reconnected. A byproduct of this is heat.			# Nibiru	1020816452503375872	1020801724838293504		https://twitter.com/HargoFett/status/1020816452503375872	https://pbs.twimg.com/profile_images/2420449417/235Oqq7j_normal
ieso2018TH	2018-07-12 07:27	0	0	- Biosphere : all living organisms - Atmosphere : gas, steam, sky, rains, snows, hails and any particles in the air. - Magnetosphere : the Earth’s magnetic field # IESO2018 # Mahidol # MUKA - 3 -			# IESO2018 # Mahidol # MUKA	1017369905513938944	1017369896206757888		https://twitter.com/ieso2018TH/status/1017369905513938944	https://pbs.twimg.com/profile_images/996626866638237698/BpNZ_a54_normal.jpg
mars2stay	2018-07-03 21:59	0	0	"At much greater altitudes a zone of charged particles trapped by our planet's magnetic field forms Earth's magnetosphere." # magneticfield http://www2.york.psu.edu/~kxt7/Astro001/06-Astro001.ppt …			# magneticfield	1014327701035999233			https://twitter.com/mars2stay/status/1014327701035999233	
Themebar	2018-06-29 14:54	0	0	The data is also an important input to models of the magnetic field direction inside a coronal mass ejection (CME) when it strikes Earth's magnetosphere; this is a critical indicator of the strength of the subsequent… http://fxmb.info/QYyRZk via http://earthcentral.org pic.twitter.com/aAPhot2C1V				1012771200114675712			https://twitter.com/Themebar/status/1012771200114675712	https://pbs.twimg.com/media/Dg4WCcGUEAAiO-C.jpg
Themebar	2018-06-29 11:52	1	0	The data is also an important input to models of the magnetic field direction inside a coronal mass ejection (CME) when it strikes Earth's magnetosphere; this is a critical indicator of the strength of the subsequent… http://fxmb.info/QYxZ3x via http://earthcentral.org pic.twitter.com/KSA1xJFZ08				1012725392417828864			https://twitter.com/Themebar/status/1012725392417828864	https://pbs.twimg.com/media/Dg3sYJGUwAEikND.jpg
Themebar	2018-06-29 08:50	0	0	The data is also an important input to models of the magnetic field direction inside a coronal mass ejection (CME) when it strikes Earth's magnetosphere; this is a critical indicator of the strength of the subsequent… http://fxmb.info/QYwYQ3 via http://earthcentral.org pic.twitter.com/XCptnJ0HnK				1012679602659971073			https://twitter.com/Themebar/status/1012679602659971073	https://pbs.twimg.com/media/Dg3CuxHUwAEl_za.jpg
Themebar	2018-06-29 05:48	0	0	The data is also an important input to models of the magnetic field direction inside a coronal mass ejection (CME) when it strikes Earth's magnetosphere; this is a critical indicator of the strength of the subsequent… http://fxmb.info/QYvfqh via http://earthcentral.org pic.twitter.com/UXS1qKECC7				1012633807940227072			https://twitter.com/Themebar/status/1012633807940227072	https://pbs.twimg.com/media/Dg2ZE0yV4AAHwwe.jpg
Themebar	2018-06-29 02:45	0	0	The data is also an important input to models of the magnetic field direction inside a coronal mass ejection (CME) when it strikes Earth's magnetosphere; this is a critical indicator of the strength of the subsequent… http://fxmb.info/QYtrkB via http://earthcentral.org pic.twitter.com/u74QRePMq3				1012587735817732096			https://twitter.com/Themebar/status/1012587735817732096	https://pbs.twimg.com/media/Dg1vLebUYAA2fva.jpg
Themebar	2018-06-28 23:42	0	0	The data is also an important input to models of the magnetic field direction inside a coronal mass ejection (CME) when it strikes Earth's magnetosphere; this is a critical indicator of the strength of the subsequent… http://fxmb.info/QYtGrz via http://earthcentral.org pic.twitter.com/pw42Z3cn87				1012541680480763904			https://twitter.com/Themebar/status/1012541680480763904	https://pbs.twimg.com/media/Dg1FSrvVQAI8zdf.jpg
Themebar	2018-06-28 20:39	0	0	The data is also an important input to models of the magnetic field direction inside a coronal mass ejection (CME) when it strikes Earth's magnetosphere; this is a critical indicator of the strength of the subsequent… http://fxmb.info/QYslYC via http://earthcentral.org pic.twitter.com/vBkBEMKEMr				1012495633821753344			https://twitter.com/Themebar/status/1012495633821753344	https://pbs.twimg.com/media/Dg0baaaUYAEr-Fe.jpg
