username	date	retweets	favorites	text	geo	mentions	hashtags	tweetid	conversationid	replyto	permalink	imagelink
SnoozySnoozie	2018-06-24 11:20	3	12	X-ray of a 900 pound man asserting his dominance pic.twitter.com/UM9czpZlWo				1010905407118815233			https://twitter.com/SnoozySnoozie/status/1010905407118815233	https://pbs.twimg.com/media/Dgd1G5EWAAEZzMW.jpg
jordanlane	2017-12-26 04:46	0	0	From Facebook: X-ray of a 900 pound manX-ray of a 900 pound man				945591644627148800			https://twitter.com/jordanlane/status/945591644627148800	https://abs.twimg.com/emoji/v2/72x72/1f62e.png
mgriga	2017-09-06 16:47	0	0	X-ray of a 900 pound man https://www.dub.io/tw/25937605 # _ray			# _ray	905532823938977792			https://twitter.com/mgriga/status/905532823938977792	
emaxtv1	2017-06-29 07:25	0	0	X-ray of a 900 pound man. Tag a friend who needs to see this http://fb.me/25bKWByMT				880386698043052032			https://twitter.com/emaxtv1/status/880386698043052032	https://abs.twimg.com/emoji/v2/72x72/1f602.png
FunPicsme	2017-03-26 03:46	0	0	The X-Ray Of A 900 Pound Man http://www.funpics.me/the-x-ray-of-a-900-pound-man/ …pic.twitter.com/vL9MgmbUtH				845904677883428864			https://twitter.com/FunPicsme/status/845904677883428864	https://pbs.twimg.com/media/C71B0elV4AAg_Hx.jpg
t1_constantine	2017-03-18 00:39	16	16	辛苦你了，亲爱的骨头！！（The X-Ray Of A 900 Pound Man） pic.twitter.com/G4RGZeyOvc				842958689170407424			https://twitter.com/t1_constantine/status/842958689170407424	https://pbs.twimg.com/media/C7LKcsKU0AArpDX.jpg
AkimRiches	2017-03-17 23:03	0	0	The X-Ray Of A 900 Pound Man pic.twitter.com/kvQt3bTjNs				842934374064644096			https://twitter.com/AkimRiches/status/842934374064644096	https://pbs.twimg.com/media/C7K0WElXwAA4jtM.jpg
PhotonFluxCA	2016-11-02 18:36	0	0	X-ray of a 900 pound man https://photonflux.ca/images/2016/11/02/kp65j8x56avx.jpg …pic.twitter.com/zL46lE2ZAr				793944944633401345			https://twitter.com/PhotonFluxCA/status/793944944633401345	https://pbs.twimg.com/media/CwSot-BXAAA4rr9.jpg
AnggraeniDesia	2016-10-11 17:58	0	0	RT @ SciencePorn: X-ray of a 900 pound man. https://twitter.com/SciencePorn/status/481301442737995776/photo/1pic.twitter.com/U1M2YQIbEM		@ SciencePorn		785962729995722753			https://twitter.com/AnggraeniDesia/status/785962729995722753	
Lolz_Online	2016-09-07 17:37	0	2	The X-Ray Of A 900 Pound Man http://lolzonline.com/image/the_xray_of_a_900_pound_man …pic.twitter.com/8NXhVf8goM				773636224858808320			https://twitter.com/Lolz_Online/status/773636224858808320	https://pbs.twimg.com/media/CryCC9sUAAAio81.jpg
lots_of_lolz	2016-09-06 11:37	0	0	The X-Ray Of A 900 Pound Man # lol - http://lolzonline.com/image/the_xray_of_a_900_pound_man …pic.twitter.com/azUUm24ww6			# lol	773183460034813953			https://twitter.com/lots_of_lolz/status/773183460034813953	https://pbs.twimg.com/media/CrrmQiQVYAAd4Pm.jpg
SmileFunXXL	2016-08-28 13:38	0	0	The X-Ray Of A 900 Pound Man pic.twitter.com/Jb835XoidU				769952263079092224			https://twitter.com/SmileFunXXL/status/769952263079092224	https://pbs.twimg.com/media/Cq9rgHoWgAAlOgW.jpg
extreme_selfie	2016-08-28 13:19	0	0	The X-Ray Of A 900 Pound Man pic.twitter.com/Y793VsZ5K9				769947584463040513			https://twitter.com/extreme_selfie/status/769947584463040513	https://pbs.twimg.com/media/Cq9nPwJWYAEklfA.jpg
Apratamaa23	2016-08-20 23:57	0	0	RT @ SciencePorn: X-ray of a 900 pound man. https://twitter.com/SciencePorn/status/481301442737995776/photo/1pic.twitter.com/So7waw3SFY		@ SciencePorn		767208962567573504			https://twitter.com/Apratamaa23/status/767208962567573504	
grakasiwi22	2016-08-20 23:57	0	0	RT @ SciencePorn: X-ray of a 900 pound man. https://twitter.com/SciencePorn/status/481301442737995776/photo/1pic.twitter.com/wqrnkDOQL6		@ SciencePorn		767208961728741377			https://twitter.com/grakasiwi22/status/767208961728741377	
