username	date	retweets	favorites	text	geo	mentions	hashtags	tweetid	conversationid	replyto	permalink	imagelink
RAM_jang_	2018-08-01 21:43	0	0	ㅋ ㅋ 그림이랑 관계없삼 ㅠ				1024833097680867328	1024706794101207040	soami_UL	https://twitter.com/RAM_jang_/status/1024833097680867328	
ZHOURUlS	2018-08-01 21:43	0	0	can’t wait to be an alien in my next life rlly cant stand humanity				1024833082615058433			https://twitter.com/ZHOURUlS/status/1024833082615058433	
ul74tb0y7k_768	2018-08-01 21:43	0	0	嵐の“聖地”が相葉雅紀のドラマ舞台に！ファンが殺到必至http://newsus.tokyo/posts/265319				1024833007809519616			https://twitter.com/ul74tb0y7k_768/status/1024833007809519616	
meke_gh0ul	2018-08-01 21:43	0	0	ねえ ハイキューは？？|ω･)				1024832994102505472	1024818025168429056	140503_myg	https://twitter.com/meke_gh0ul/status/1024832994102505472	
NlNOQUlNCAMPOlX	2018-08-01 21:43	0	0	ur righthttps://twitter.com/theatreastro/status/1024799962427736066 …				1024832980148084736			https://twitter.com/NlNOQUlNCAMPOlX/status/1024832980148084736	https://pbs.twimg.com/media/DjjSIe8XgAUHHQt.jpg
PettyS0ulGem	2018-08-01 21:43	0	0	Someone’s giving out my Snapchat name to random guys on whatever tf “teenchat” is & I cant change my username, @ Snapchat fuck you & the bitch giving out my shit y’all suck.		@ Snapchat		1024832941262872576			https://twitter.com/PettyS0ulGem/status/1024832941262872576	
BusraDemir89	2018-08-01 21:43	0	0	HZ. MEHDİ (AS)’IN ZUHURUNU BEKLEYENLER ONA YARDIM EDENLER GİBİDİRLER İmam Sadık’tan:“Zuhuru beklenen Mehdi’nin yönetimini kurması umuduyla yaşayanlar ona yardım edenler gibidirler ya da Mehdi’nin heyetindeki cehd arkadaşları gibidirler (Bihar ul Envar, c. 52, s.156) Hadis-i Şerif				1024832931775348736			https://twitter.com/BusraDemir89/status/1024832931775348736	
MlNGHUlS	2018-08-01 21:42	0	0	this isnt even proper english				1024832853627027456	1024827945171398656	MlNGHUlS OH_mes	https://twitter.com/MlNGHUlS/status/1024832853627027456	
UL_diet	2018-08-01 21:42	0	0	「これ以上俺にメシは必要ないぜ」				1024832805065318400			https://twitter.com/UL_diet/status/1024832805065318400	
DJ_Nostay	2018-08-01 21:42	0	0	マジかよ(ｰ ｰ;)https://twitter.com/dj_nostay/status/1024465432462340096 …				1024832704133492738			https://twitter.com/DJ_Nostay/status/1024832704133492738	
MOONSQUlD	2018-08-01 21:42	0	0					1024832683132821504	1024141274121740288		https://twitter.com/MOONSQUlD/status/1024832683132821504	https://abs.twimg.com/emoji/v2/72x72/2708.png
zainulabdin4040	2018-08-01 21:42	0	0	Matlabi dost hain matlbi yareeyan				1024832677894078470	1024375059903901700	Matiullahjan919	https://twitter.com/zainulabdin4040/status/1024832677894078470	
cremedelas0ul	2018-08-01 21:41	0	0	sending you and your family my love Dzul				1024832601977016320	1024666781992943616	onlyDzul	https://twitter.com/cremedelas0ul/status/1024832601977016320	https://abs.twimg.com/emoji/v2/72x72/1f495.png
BadarHaque	2018-08-01 21:41	0	0	https://www.facebook.com/100008276940225/posts/2146145415671336/ …				1024832548516577280			https://twitter.com/BadarHaque/status/1024832548516577280	
daremys0ul	2018-08-01 21:41	0	0	@ livesdabru soy genialpic.twitter.com/ZXSnTJcWxj		@ livesdabru		1024832515276726279			https://twitter.com/daremys0ul/status/1024832515276726279	https://pbs.twimg.com/media/DjjvvDbX4AEnM_I.jpg
