username,date,retweets,favorites,comments,text,geo,mentions,hashtags,tweetid,conversationid,replyto,permalink,imagelink
"NewsChannel_NYC","2018-08-01-03:02",0,0,0,"A Rush to Block Downloadable Plans for 3-D Printed Guns Legislators, officials and activists around the country are rushing to stop a company from posting blueprints for “ghost guns” this week. https://www.nytimes.com/2018/07/30/business/downloadable-blueprints-printable-guns.html … http://bitly.com/2sjBBbW","","","","1024551038387478528","","","https://twitter.com/NewsChannel_NYC/status/1024551038387478528",""
"Felicia1669","2018-07-31-21:03",0,1,0,"Federal judge blocks posting of blueprints for 3-D-printed guns hours before they were to be published https://wapo.st/2vkq66H Thank God!! I can't believe this was even necessary. And one more reason we need to stop Trumps comtinued Judicial picks!! # Resist","","","# Resist","1024460543724281857","","","https://twitter.com/Felicia1669/status/1024460543724281857",""
"MisterStop","2018-07-31-20:21",0,0,0,"Federal judge blocks posting of blueprints for 3-D-printed guns hours before they were to be published https://wapo.st/2vkq66H?tid=ss_tw&utm_term=.191fa60df0b4 …","","","","1024449913600520192","","","https://twitter.com/MisterStop/status/1024449913600520192",""
"CrweWorld","2018-07-31-09:00",0,0,0,"Nine States Sue to Stop 3-D Gun File Posting http://crweworld.com/usa/trendingnow/news/755284/nine-states-sue-to-stop-3-d-gun-file-posting …","","","","1024278532485046273","","","https://twitter.com/CrweWorld/status/1024278532485046273",""
"criminallawinfl","2018-07-31-07:10",0,0,0,"http://ronlbaum.com/ Eight States Sue to Stop 3-D Gun File Posting https://thecrimereport.org/2018/07/31/eight-states-sue-to-stop-3-d-gun-file-posting/?utm_source=dlvr.it&utm_medium=twitter …","","","","1024250829866319872","","","https://twitter.com/criminallawinfl/status/1024250829866319872",""
"3DPrintMaven","2018-07-30-18:27",1,0,0,"States Move to Stop Website From Posting 3D Printed Gun Files # 3dprinting https://www.pcmag.com/news/362785/states-move-to-stop-website-from-posting-3d-printed-gun-file …pic.twitter.com/lV0PWST9Fy","","","# 3dprinting","1024059001930244097","","","https://twitter.com/3DPrintMaven/status/1024059001930244097","https://pbs.twimg.com/media/DjYwPCcXcAYFK7H.jpg"
"3DTravelDomains","2018-07-30-16:56",0,0,0,"States Move to Stop Website From Posting 3D-Printed Gun Files http://bit.ly/2LQ0VTJ","","","","1024036143631945733","","","https://twitter.com/3DTravelDomains/status/1024036143631945733",""
"AGeekOnDemand","2018-07-30-09:45",0,0,0,"Gun control groups can't stop group from posting instructions to 3-D print a gun https://www.cnn.com/2018/07/27/politics/plastic-gun-control-lawsuit/index.html …","","","","1023927483954024448","","","https://twitter.com/AGeekOnDemand/status/1023927483954024448",""
"Byronik","2018-07-30-09:14",0,0,0,"Gun control advocates can't stop group from posting instructions to 3-D print a gun https://www.cnn.com/2018/07/27/politics/plastic-gun-control-lawsuit/index.html …","","","","1023919842183798785","","","https://twitter.com/Byronik/status/1023919842183798785",""
"NowMediaScott","2018-07-30-08:24",0,0,0,"Gun control advocates can't stop a group from posting instructions to 3-D print a gun https://cnn.it/2LLF7bI pic.twitter.com/A6zhz1FLbr","","","","1023907299931373569","","","https://twitter.com/NowMediaScott/status/1023907299931373569","https://pbs.twimg.com/media/DjMixZ9V4AARFxp.jpg"
"New_Narrative","2018-07-30-07:33",3,1,0,"Gun control advocates can't stop a group from posting instructions to 3-D print a gun https://cnn.it/2OttLHP pic.twitter.com/0T3qp4Kft8","","","","1023894318787043329","","","https://twitter.com/New_Narrative/status/1023894318787043329","https://pbs.twimg.com/media/DjWMan7XcAA8m2J.jpg"
"CNNPolitics","2018-07-30-06:32",98,109,50,"Gun control advocates can't stop a group from posting instructions to 3-D print a gun https://cnn.it/2OttLHP pic.twitter.com/qEbeZmBlOk","","","","1023878881198125056","","","https://twitter.com/CNNPolitics/status/1023878881198125056","https://pbs.twimg.com/media/DjWMan7XcAA8m2J.jpg"
"drctan","2018-07-29-22:01",0,0,0,"Gun control advocates can't stop group from posting instructions to 3-D print a gun https://www.cnn.com/2018/07/27/politics/plastic-gun-control-lawsuit/index.html …","","","","1023750317836390400","","","https://twitter.com/drctan/status/1023750317836390400",""
"jmurphy13694","2018-07-29-11:50",0,0,0,"Gun control advocates can't stop group from posting instructions to 3-D print a gun https://paper.li/DeffetJenny/1525259670?read=https%3A%2F%2Fwww.cnn.com%2F2018%2F07%2F27%2Fpolitics%2Fplastic-gun-control-lawsuit%2Findex.html …","","","","1023596625996988416","","","https://twitter.com/jmurphy13694/status/1023596625996988416",""
"BrianWaldron6","2018-07-29-11:25",0,0,0,"Gun control advocates can't stop group from posting instructions to 3-D print a gun https://www.cnn.com/2018/07/27/politics/plastic-gun-control-lawsuit/index.html …","","","","1023590279809576961","","","https://twitter.com/BrianWaldron6/status/1023590279809576961",""
"CoffeeL48396139","2018-07-29-11:02",1,1,1,"Outrageously terrifying and dangerous! Gun control advocates can't stop group from posting instructions to 3-D print a gun https://www.cnn.com/2018/07/27/politics/plastic-gun-control-lawsuit/index.html …","","","","1023584532283445248","","","https://twitter.com/CoffeeL48396139/status/1023584532283445248",""
"donnaeperkins","2018-07-29-10:05",0,0,0,"Gun control advocates can't stop group from posting instructions to 3-D print a gun @ CNNPolitics https://cnn.it/2Adac3D","","@ CNNPolitics","","1023570155434110976","","","https://twitter.com/donnaeperkins/status/1023570155434110976",""
"SafetyPinDaily","2018-07-29-09:58",6,7,5,"Gun control advocates can't stop group from posting instructions to 3-D print a gun | CNNPolitics https://cnn.it/2Adad7H","","","","1023568373018439680","","","https://twitter.com/SafetyPinDaily/status/1023568373018439680",""
"SafetyPinDaily","2018-07-29-04:50",5,1,1,"Gun control advocates can't stop group from posting instructions to 3-D print a gun | Via; CNNPolitics https://cnn.it/2Adad7H","","","","1023490892949274625","","","https://twitter.com/SafetyPinDaily/status/1023490892949274625",""
"SafetyPinDaily","2018-07-28-23:38",8,8,3,"Gun control advocates can't stop group from posting instructions to 3-D print a gun || Via; CNNPolitics https://cnn.it/2Adad7H","","","","1023412352585281536","","","https://twitter.com/SafetyPinDaily/status/1023412352585281536",""
"ourgunfreedoms","2018-07-28-23:08",0,0,0,"Gun control advocates can't stop group from posting instructions to 3-D print a gun - https://ourgunfreedoms.com/gun-control-advocates-cant-stop-group-from-posting-instructions-to-3-d-print-a-gun/ …","","","","1023404831640305664","","","https://twitter.com/ourgunfreedoms/status/1023404831640305664",""
"johndalytv","2018-07-28-23:05",0,0,0,"Gun control advocates can't stop group from posting instructions to 3-D print a gun https://www.cnn.com/2018/07/27/politics/plastic-gun-control-lawsuit/index.html …https://www.cnn.com/2018/07/27/politics/plastic-gun-control-lawsuit/index.html …","","","","1023404184366968832","","","https://twitter.com/johndalytv/status/1023404184366968832",""
"JohnDalyNews","2018-07-28-23:05",0,0,0,"Gun control advocates can't stop group from posting instructions to 3-D print a gun https://buff.ly/2K23Cwp","","","","1023404145972334592","","","https://twitter.com/JohnDalyNews/status/1023404145972334592",""
"WLWT","2018-07-28-21:30",1,1,0,"Gun control advocates can't stop group from posting instructions to 3-D print a gun http://bit.ly/2NTACcu pic.twitter.com/7DydTqKpby","","","","1023380154138222592","","","https://twitter.com/WLWT/status/1023380154138222592","https://pbs.twimg.com/media/DjPG050U4AA-h1i.jpg"
"WXII","2018-07-28-21:30",2,1,0,"Gun control advocates can't stop group from posting instructions to 3-D print a gun http://bit.ly/2uYCEkO pic.twitter.com/lIEmEdpl1m","","","","1023380138577326082","","","https://twitter.com/WXII/status/1023380138577326082","https://pbs.twimg.com/media/DjPGz9NW0AApAXG.jpg"
"3DTravelDomains","2018-07-28-21:05",0,0,0,"Gun control advocates can’t stop group from posting instructions to 3-D print a gun http://bit.ly/2uVbISQ","","","","1023373978465968129","","","https://twitter.com/3DTravelDomains/status/1023373978465968129",""
"kmbc","2018-07-28-20:50",1,3,2,"Gun control advocates can't stop group from posting instructions to 3-D print a gun http://bit.ly/2LY5cRO pic.twitter.com/uzAehMXU0a","","","","1023370054648381445","","","https://twitter.com/kmbc/status/1023370054648381445","https://pbs.twimg.com/media/DjO9pCWV4AAQs-1.jpg"
