username	date	retweets	favorites	text	geo	mentions	hashtags	tweetid	conversationid	replyto	permalink	imagelink
saraAfifi8	2018-07-16 05:52	7	30	A perfectly flat floor, designed to stop children from running in the hallway pic.twitter.com/VKVTuVa8BP				1018795397559521281			https://twitter.com/saraAfifi8/status/1018795397559521281	https://pbs.twimg.com/media/DiN8_VNWsAALbON.jpg
osmanhakan95	2018-07-15 16:29	0	1	A perfectly flat floor, designed to stop children from running in the hallway ᴷᴬ pic.twitter.com/cWZ8hMHfBb				1018593363547901954			https://twitter.com/osmanhakan95/status/1018593363547901954	https://pbs.twimg.com/media/DiLFQmqX0AAHaZB.jpg
RonvanderJagt	2018-07-12 03:08	44	128	Briljant! A perfectly flat floor, designed to stop children from running in the hallway # gedragsbeïnvloeding # communicatie # innovatie # design via @ steubepic.twitter.com/OVXzdgqfbz		@ steubepic	# gedragsbeïnvloeding # communicatie # innovatie # design	1017304746313572352			https://twitter.com/RonvanderJagt/status/1017304746313572352	https://pbs.twimg.com/media/Dhh5980XkAAz4uJ.jpg
DrInHiding	2018-07-08 12:44	0	0	A perfectly flat floor, designed to stop children from running in the hallway. https://www.instagram.com/p/Bk-lM9dHZmm/?utm_source=ig_twitter_share&igshid=1pjcjt5abl91b …				1016000099938271232			https://twitter.com/DrInHiding/status/1016000099938271232	
reworkceo	2018-07-07 17:19	0	0	RT joshallan "RT steube: A perfectly flat floor, designed to stop children from running in the hallway # perspective # design # innovation # disruption # UI # education RT antoniocorrales JRBuckley68 pic.twitter.com/uXWEx7LR2m"			# perspective # design # innovation # disruption # UI # education	1015706795346726913			https://twitter.com/reworkceo/status/1015706795346726913	https://pbs.twimg.com/media/Dhh5980XkAAz4uJ.jpg
SciDoesntCare	2018-07-07 17:19	0	1	A perfectly flat floor, designed to stop children from running in the hallway. pic.twitter.com/g76O3TFr0E				1015706785683042305			https://twitter.com/SciDoesntCare/status/1015706785683042305	https://pbs.twimg.com/media/DhiD8DkUEAAyl90.jpg
steube	2018-07-07 16:35	27	62	A perfectly flat floor, designed to stop children from running in the hallway # perspective # design # innovation # disruption # UI # education RT @ antoniocorrales @ JRBuckley68pic.twitter.com/gOaTTxu2jy		@ antoniocorrales @ JRBuckley68pic	# perspective # design # innovation # disruption # UI # education	1015695826935574530			https://twitter.com/steube/status/1015695826935574530	https://pbs.twimg.com/media/Dhh5980XkAAz4uJ.jpg
onestopshop_net	2018-07-06 09:40	0	0	A perfectly flat floor, designed to stop children from running in the hallway. https://www.facebook.com/onestopshop.volos/posts/10156468262884699 …				1015228940355538945			https://twitter.com/onestopshop_net/status/1015228940355538945	
ClassDismissPod	2018-07-05 22:38	5	8	A perfectly flat floor designed to stop children from running in the hallway. pic.twitter.com/EfVio7aUN7				1015062460544544769			https://twitter.com/ClassDismissPod/status/1015062460544544769	https://pbs.twimg.com/media/DhY57IdX4AUCAYk.jpg
breakingdownth2	2018-07-05 19:10	0	0	A perfectly flat floor, designed to stop children from running in the hallway. https://imgur.com/ORsSohG.jpg				1015010041483554816			https://twitter.com/breakingdownth2/status/1015010041483554816	
bluenile	2018-07-05 16:57	0	0	A perfectly flat floor, designed to stop children from running in the hallway. http://bit.ly/2KAVqbx pic.twitter.com/IjjASg26px				1014976510938177536			https://twitter.com/bluenile/status/1014976510938177536	https://pbs.twimg.com/media/DhXrweDUcAAidwk.jpg
hotstuff4yall	2018-07-05 12:27	0	0	A perfectly flat floor, designed to stop children from running in the hallway. https://imgur.com/ORsSohG.jpg				1014908685632483334			https://twitter.com/hotstuff4yall/status/1014908685632483334	
UofGCSPE	2018-07-05 11:10	0	1	A perfectly flat floor, designed to stop children from running in the hallway! https://www.facebook.com/UofGCSPE/posts/10155650330625036 …				1014889230470926336			https://twitter.com/UofGCSPE/status/1014889230470926336	
HalCo1312	2018-07-05 02:28	0	5	A perfectly flat floor, designed to stop children from running in the hallway. pic.twitter.com/SDI7RhYjwu				1014757821475368960			https://twitter.com/HalCo1312/status/1014757821475368960	https://pbs.twimg.com/media/DhUk2n-W4AMHfVI.jpg
kezwilliams13	2018-07-04 09:44	1	2	You're looking at a perfectly flat floor that is designed to stop children from running in the hallway. pic.twitter.com/WqYqCh31Nb				1014505188797894656			https://twitter.com/kezwilliams13/status/1014505188797894656	https://pbs.twimg.com/media/DhQ_FqpWkAEAz1W.jpg
MartijnBAARDA	2018-07-04 06:38	0	0	A perfectly flat floor, designed to stop children from running in the hallway.... pic.twitter.com/F5lSrF8G0U				1014458372844871680			https://twitter.com/MartijnBAARDA/status/1014458372844871680	https://pbs.twimg.com/media/DhQUgeOW4AAd-38.jpg
Kenlenkirk	2018-07-04 03:00	0	0	RT Mamakind420 "RT antoniocorrales: A perfectly flat floor, designed to stop children from running in the hallway. pic.twitter.com/kxFHodnUNE"				1014403606924222464			https://twitter.com/Kenlenkirk/status/1014403606924222464	https://pbs.twimg.com/media/DhDt74HU0AEvRDm.jpg
visineDOTcom	2018-07-04 02:06	1	3	I tripped looking at this RT @ msfang: RT @ antoniocorrales: A perfectly flat floor, designed to stop children from running in the hallway. pic.twitter.com/g7lyjhoCVk		@ msfang @ antoniocorrales		1014390035586613249	1013571540766679041	antoniocorrales	https://twitter.com/visineDOTcom/status/1014390035586613249	https://pbs.twimg.com/media/DhDt74HU0AEvRDm.jpg
saileshvora55	2018-07-03 21:34	3	14	A perfectly flat floor, designed to stop children from running in the hallway. pic.twitter.com/aZPWOxu5Hs				1014321554367213568	966448761554776064	timelesssoul1 nitingodbole	https://twitter.com/saileshvora55/status/1014321554367213568	https://pbs.twimg.com/media/DhOYEcaUcAA-ogh.jpg
Foxtonnews1	2018-07-03 20:53	0	0	A perfectly flat floor, designed to stop children from running in the hallway. - http://www.foxtonnews.com/a-perfectly-flat-floor-designed-to-stop-children-from-running-in-the-hallway/ …				1014311094360465408			https://twitter.com/Foxtonnews1/status/1014311094360465408	
