username	date	retweets	favorites	text	geo	mentions	hashtags	tweetid	conversationid	replyto	permalink	imagelink
tbdnonymous	2018-07-05 23:22	0	0	A powerful storm in China caused an octopus and other sea life to fall from the sky http://www.newsweek.com/storm-china-seafood-rain-octopus-photos-fell-sky-979580 …				1015073425478639617			https://twitter.com/tbdnonymous/status/1015073425478639617	
car_panta	2018-07-05 11:48	1	0	Bizarre moment octopus and starfish fall from the sky like rain after being 'sucked from the ocean' during powerful storm https://www.thesun.co.uk/news/6539074/octopus-starfish-fall-sky-qingdao-china-waterspout/ … # Tornado # Hailstones # Hail # ExtremeWeather # Storm # Tornadoes # Qingdao # China			# Tornado # Hailstones # Hail # ExtremeWeather # Storm # Tornadoes # Qingdao # China	1014898897469231104			https://twitter.com/car_panta/status/1014898897469231104	
MonsterStuff	2018-07-02 16:34	1	1	A powerful storm in China caused an octopus and other sea life to fall from the sky: http://www.newsweek.com/storm-china-seafood-rain-octopus-photos-fell-sky-979580 … # beafraid			# beafraid	1013883514843000833			https://twitter.com/MonsterStuff/status/1013883514843000833	
photonuttt	2018-06-18 15:53	0	0	Sea creatures fall from sky during insane storm in China These images show the extraordinary moment an octopus and starfish fell from the sky after being sucked up by a powerful storm. The sea tornado fizzled out before making landfall on the coastal cit… https://ift.tt/2K1U6xk				1008799804321918977			https://twitter.com/photonuttt/status/1008799804321918977	
GeraldWThomas	2018-06-17 22:17	0	0	WILD! Octopus, Starfish and Shrimp Fall from the Sky During Intense Storm In China https://youtu.be/YNq2jRH2aPM via @ YouTube		@ YouTube		1008534027823968256			https://twitter.com/GeraldWThomas/status/1008534027823968256	
LostAngelsMovie	2018-06-17 21:54	0	0	I liked a @ YouTube video http://youtu.be/YNq2jRH2aPM?a WILD! Octopus, Starfish and Shrimp Fall from the Sky During Intense Storm In China		@ YouTube		1008528387143622659			https://twitter.com/LostAngelsMovie/status/1008528387143622659	
herjester	2018-06-17 19:36	0	0	I liked a @ YouTube video http://youtu.be/YNq2jRH2aPM?a WILD! Octopus, Starfish and Shrimp Fall from the Sky During Intense Storm In China		@ YouTube		1008493531286130688			https://twitter.com/herjester/status/1008493531286130688	
weatherfreakk	2018-06-17 14:11	0	0	I liked a @ YouTube video http://youtu.be/YNq2jRH2aPM?a WILD! Octopus, Starfish and Shrimp Fall from the Sky During Intense Storm In China		@ YouTube		1008411918711885825			https://twitter.com/weatherfreakk/status/1008411918711885825	
VitalAnon	2018-06-17 12:23	1	1	WILD! Octopus, Starfish and Shrimp Fall from the Sky During Intense Storm In China - http://anonymous.bravehost.com/main/2018/06/17/wild-octopus-starfish-and-shrimp-fall-from-the-sky-during-intense-storm-in-china/ …pic.twitter.com/WFgHzpq0ik				1008384606440001536			https://twitter.com/VitalAnon/status/1008384606440001536	https://pbs.twimg.com/media/Df6AdHVUcAEF41L.jpg
Bim_Star	2018-06-17 12:09	0	0	A powerful storm in China caused an octopus and other sea life to fall from the sky http://www.newsweek.com/storm-china-seafood-rain-octopus-photos-fell-sky-979580 …				1008381121065881601			https://twitter.com/Bim_Star/status/1008381121065881601	
